model_category,title,price,price_raw,url,year,scraped_at,scrape_date,scrape_time
gibson_r9,Used 2012 Gibson Les Paul R9 JamCity Guitar Makeover Cherry Sunburst Solid Body Electric Guitar,7999.99,"$7,999.99",https://www.guitarcenter.com/Used/Gibson/Used-2012-Gibson-Les-Paul-R9-JamCity-Guitar-Makeover-Cherry-Sunburst-Solid-Body-Electric-Guitar.gc,2012,2025-08-12T21:44:23.956479,2025-08-12,21:44:23
gibson_r9,"Used Gibson LES PAUL R9 TOM DOYLE ""TIME MACHINE"" RELIC HISTORIC AGED  BURST Solid Body Electric Guitar",10999.99,"$10,999.99",https://www.guitarcenter.com/Used/Gibson/Used-Gibson-LES-PAUL-R9-TOM-DOYLE-TIME-MACHINE-RELIC-HISTORIC-AGED-BURST-Solid-Body-Electric-Guitar.gc,,2025-08-12T21:44:23.956627,2025-08-12,21:44:23
gibson_r9,Used 2018 Gibson Custom Shop Les Paul R9 VOS Brazilian Light Aged Royal Teaburst Solid Body Electric Guitar,11499.99,"$11,499.99",https://www.guitarcenter.com/Used/Gibson/Used-2018-Gibson-Custom-Shop-Les-Paul-R9-VOS-Brazilian-Light-Aged-Royal-Teaburst-Solid-Body-Electric-Guitar-120180565.gc,2018,2025-08-12T21:44:23.956699,2025-08-12,21:44:23
